2017-07-11 06:38:59.817259 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.37_head
2017-07-11 06:38:59.817273 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.38_head
2017-07-11 06:38:59.817282 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.39_head
2017-07-11 06:38:59.817295 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.3c_head
2017-07-11 06:38:59.817303 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/1.0_head
2017-07-11 06:38:59.817357 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/1.2_head
2017-07-11 06:38:59.856659 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/1.3_head
2017-07-11 06:38:59.856708 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/1.5_head
2017-07-11 06:38:59.856745 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/1.c_head
2017-07-11 06:38:59.897543 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/1.d_head
2017-07-11 06:38:59.897615 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/1.f_head
