# line store wor latency
1 filestore UPDATE 120.80861033239889
2 bluestore UPDATE 120.69615222496537
3 0 0 0
4 filestore READ-MODIFY-WRITE 204.77172607128554
5 bluestore READ-MODIFY-WRITE 202.77198370165192
6 0 0 0
7 filestore READ 81.99671
8 bluestore READ 81.49383
9 0 0 0
10 filestore CLEANUP 1900.0
11 bluestore CLEANUP 2323.0
