# line store wor latency
1 filestore UPDATE 120
2 bluestore UPDATE 120
3 0 0 0
4 filestore READ-MODIFY-WRITE 204
5 bluestore READ-MODIFY-WRITE 202
6 0 0 0
7 filestore READ 81
8 bluestore READ 81
9 0 0 0
10 filestore CLEANUP 1900
11 bluestore CLEANUP 2323
